GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,InvokeConfig,13,28,0,0,2,8,2,4,2,4
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,DurableExecutor,37,144,3,11,15,35,4,13,1,9
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,StepConfig,0,51,0,4,0,10,0,8,0,6
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,MapConfig.Builder,0,32,0,0,0,12,0,5,0,5
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,InvokeConfig.Builder,10,22,0,0,4,8,2,3,2,3
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,WaitForConditionDecision,5,23,1,1,1,4,1,3,0,3
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,ParallelConfig.Builder,0,67,0,8,0,17,0,9,0,5
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,DurableFuture,0,12,0,0,0,2,0,2,0,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,DurableConfig,26,217,7,17,7,59,6,22,0,16
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,StepSemantics,0,15,0,0,0,3,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,ParallelContext,56,0,4,0,16,0,7,0,5,0
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,StepConfig.Builder,0,32,0,0,0,12,0,5,0,5
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,WaitForConditionConfig,0,44,0,4,0,13,0,7,0,5
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,WaitStrategies,0,12,0,2,0,3,0,2,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,TypeToken.new TypeToken() {...},0,4,0,0,0,1,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,TypeToken.new TypeToken() {...},0,4,0,0,0,1,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,ParallelConfig,0,28,0,0,0,9,0,5,0,5
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,DurableHandler,39,41,0,2,7,10,2,4,2,3
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,WaitForCallbackConfig.Builder,0,15,0,0,0,5,0,3,0,3
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,DurableConfig.Builder,0,59,0,0,0,18,0,8,0,8
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,MapConfig,0,46,0,2,0,10,0,7,0,6
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,CompletionConfig,0,68,0,0,0,14,0,10,0,10
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,CallbackConfig.Builder,0,38,0,0,0,14,0,5,0,5
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,WaitForConditionConfig.Builder,0,19,0,0,0,7,0,3,0,3
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,CallbackConfig,0,41,0,0,0,10,0,6,0,6
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,WaitForCallbackConfig,0,43,0,4,0,9,0,7,0,5
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,TypeToken,4,66,2,4,0,18,2,9,0,8
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable,WaitStrategies.Builder,0,155,0,11,0,40,0,14,0,8
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.model,OperationIdentifier,0,31,0,0,0,3,0,3,0,3
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.model,MapResultItem,12,42,0,0,4,11,4,7,4,7
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.model,OperationSubType,3,63,0,0,1,12,1,3,1,3
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.model,MapResult,11,103,2,8,3,16,5,18,3,15
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.model,DurableExecutionInput,0,12,0,0,0,1,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.model,ExecutionStatus,0,24,0,0,0,5,0,2,0,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.model,MapResultItem.Status,0,15,0,0,0,3,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.model,ConcurrencyCompletionStatus,3,37,0,4,1,6,1,4,1,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.model,DurableExecutionOutput,0,33,0,0,0,4,0,4,0,4
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.model,CompletionReason,0,21,0,0,0,4,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.validation,ParameterValidator,0,166,0,38,0,37,0,28,0,9
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.operation,ConcurrencyOperation,35,359,16,28,6,84,16,20,1,13
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.operation,WaitOperation,24,65,5,1,5,21,3,5,0,5
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.operation,WaitForConditionOperation,152,184,19,15,40,48,21,11,7,7
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.operation,StepOperation,174,156,27,12,42,43,22,12,4,9
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.operation,CallbackOperation,18,111,4,9,6,26,4,10,0,6
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.operation,MapOperation,219,0,28,0,50,0,19,0,5,0
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.operation,ChildContextOperation,167,260,32,34,39,77,26,25,3,11
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.operation,BaseDurableOperation,70,443,4,34,7,109,6,42,2,27
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.operation,MapOperation.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.operation,InvokeOperation,55,67,5,7,18,15,7,6,3,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.operation,BaseConcurrentOperation,521,0,64,0,124,0,53,0,20,0
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.operation,ParallelOperation,18,37,0,0,8,10,3,4,3,4
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.retry,JitterStrategy,0,21,0,0,0,4,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.retry,JitterStrategy.new JitterStrategy() {...},0,15,0,0,0,2,0,2,0,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.retry,JitterStrategy.new JitterStrategy() {...},0,9,0,0,0,2,0,2,0,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.retry,JitterStrategy.new JitterStrategy() {...},0,7,0,0,0,2,0,2,0,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.retry,PollingStrategies.Presets,3,9,0,0,1,2,1,1,1,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.retry,PollingStrategies,3,90,0,14,1,17,1,11,1,4
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.retry,RetryStrategies,3,90,0,10,1,22,1,9,1,4
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.retry,RetryStrategies.Presets,3,14,0,0,1,4,1,2,1,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.retry,RetryDecision,0,46,0,4,0,9,0,8,0,6
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.util,CompletedDurableFuture,9,0,0,0,4,0,2,0,2,0
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.util,ExceptionHelper,3,94,0,2,1,22,1,9,1,8
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,StepException,0,6,0,0,0,2,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,InvokeException,1,11,1,1,1,4,1,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,CallbackFailedException,2,23,2,2,1,6,2,2,0,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,InvokeStoppedException,0,4,0,0,0,2,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,CallbackTimeoutException,0,8,0,0,0,2,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,CallbackSubmitterException,7,0,0,0,2,0,1,0,1,0
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,CallbackException,0,23,0,0,0,6,0,3,0,3
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,StepInterruptedException,0,51,1,3,0,13,1,5,0,4
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,InvokeTimedOutException,0,4,0,0,0,2,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,DurableExecutionException,0,22,0,2,0,8,0,4,0,3
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,ConcurrencyExecutionException,0,56,0,2,0,12,0,7,0,6
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,InvokeFailedException,0,4,0,0,0,2,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,ChildContextFailedException,0,37,0,4,0,7,0,5,0,3
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,IllegalDurableOperationException,0,11,0,0,0,5,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,WaitForConditionException,1,17,1,1,0,5,1,2,0,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,StepFailedException,0,30,0,2,0,8,0,3,0,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,UnrecoverableDurableExecutionException,0,11,0,0,0,4,0,2,0,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,NonDeterministicExecutionException,0,11,0,0,0,5,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,SerDesException,0,9,0,0,0,4,0,2,0,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.exception,DurableOperationException,0,58,0,4,0,15,0,10,0,8
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.execution,SuspendExecutionException,0,4,0,0,0,2,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.execution,InternalExecutor,0,22,0,0,0,5,0,2,0,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.execution,ThreadType,3,25,0,0,1,6,1,2,1,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.execution,ThreadContext,0,9,0,0,0,1,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.execution,OperationIdGenerator,7,40,0,2,2,9,0,3,0,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.execution,ExecutionMode,0,15,0,0,0,3,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.execution,ApiRequestDelayedBatcher.Item,0,9,0,0,0,1,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.execution,ExecutionManager,39,382,11,39,12,80,10,43,1,27
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.execution,CheckpointManager,0,419,1,27,0,89,1,28,0,15
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.execution,ApiRequestDelayedBatcher,0,269,1,21,0,70,1,18,0,8
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.logging,DurableLogger,10,155,4,14,2,35,4,21,0,16
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.logging,LoggerConfig,5,11,0,0,1,2,1,2,1,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.context,StepContextImpl,27,21,5,1,7,7,4,3,1,3
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.context,BaseContextImpl,1,69,0,2,1,23,0,11,0,10
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.context,DurableContextImpl,563,326,17,5,127,78,55,23,45,22
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.serde,AwsSdkV2Module.SdkDeserializer,10,42,0,0,3,10,0,2,0,2
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.serde,DurableInputOutputSerDes.new JsonDeserializer() {...},0,27,0,2,0,8,0,4,0,3
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.serde,DurableInputOutputSerDes.new JsonSerializer() {...},10,3,0,0,3,1,1,1,1,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.serde,DurableInputOutputSerDes.new JsonDeserializer() {...},11,3,0,0,2,1,1,1,1,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.serde,AwsSdkV2Module.SdkSerializer,10,22,0,0,3,6,0,1,0,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.serde,DurableInputOutputSerDes,14,120,2,2,8,23,2,4,0,4
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.serde,AwsSdkV2Module,0,40,0,2,0,10,0,4,0,3
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.serde,JacksonSerDes,0,83,0,4,0,21,0,7,0,5
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.serde,NoopSerDes,4,3,0,0,2,1,2,1,2,1
AWS Lambda Durable Execution SDK for Java,software.amazon.lambda.durable.client,LambdaDurableFunctionsClient,30,9,0,0,12,3,2,1,2,1
